player,team,stat_category,game_id,car,yds,avg,td,long
Josh Jacobs,GB,bay rushing,401772936,23,84,3.7,1,10
Savion Williams,GB,bay rushing,401772936,2,24,12.0,0,16
Matthew Golden,GB,bay rushing,401772936,2,15,7.5,0,9
Jordan Love,GB,bay rushing,401772936,3,12,4.0,0,14
